latitude,longitude,country,source,year,treatment,grain_yield_kgha,N,P,K
7.71644,37.32596,Ethiopia,Tamssa,2015,Control,1832.421053,0,0,0
7.71644,37.32596,Ethiopia,Tamssa,2015,PK,2090.571429,0,40,40
7.71644,37.32596,Ethiopia,Tamssa,2015,NK,5216.831541,120,0,40
7.71644,37.32596,Ethiopia,Tamssa,2015,NP,6086.303571,120,40,0
7.71644,37.32596,Ethiopia,Tamssa,2015,NPK,6550.019048,120,40,40
7.71644,37.32596,Ethiopia,Tamssa,2015,NPK+,5912.48254,120,40,40
7.73156,37.30468,Ethiopia,Tamssa,2015,Control,6298.412698,0,0,0
7.73156,37.30468,Ethiopia,Tamssa,2015,PK,5506.656426,0,40,40
7.73156,37.30468,Ethiopia,Tamssa,2015,NK,10791.14863,120,0,40
7.73156,37.30468,Ethiopia,Tamssa,2015,NP,8645.603691,120,40,0
7.73156,37.30468,Ethiopia,Tamssa,2015,NPK,8877.810309,120,40,40
7.73156,37.30468,Ethiopia,Tamssa,2015,NPK+,9693.123345,120,40,40
7.73044,37.28692,Ethiopia,Tamssa,2015,Control,2337.406593,0,0,0
7.73044,37.28692,Ethiopia,Tamssa,2015,PK,1937.530435,0,40,40
7.73044,37.28692,Ethiopia,Tamssa,2015,NK,6593.654135,120,0,40
7.73044,37.28692,Ethiopia,Tamssa,2015,NP,8191.709751,120,40,0
7.73044,37.28692,Ethiopia,Tamssa,2015,NPK,7531.87916,120,40,40
7.73044,37.28692,Ethiopia,Tamssa,2015,NPK+,6869.597941,120,40,40
7.73035,37.26490,Ethiopia,Tamssa,2015,Control,4585.944444,0,0,0
7.73035,37.26490,Ethiopia,Tamssa,2015,PK,3736.611296,0,40,40
7.73035,37.26490,Ethiopia,Tamssa,2015,NK,5807.376623,120,0,40
7.73035,37.26490,Ethiopia,Tamssa,2015,NP,8051.216931,120,40,0
7.73035,37.26490,Ethiopia,Tamssa,2015,NPK,7320.207991,120,40,40
7.73035,37.26490,Ethiopia,Tamssa,2015,NPK+,5846.393762,120,40,40
7.73281,37.27350,Ethiopia,Tamssa,2015,Control,7094.798535,0,0,0
7.73281,37.27350,Ethiopia,Tamssa,2015,PK,6305.185185,0,40,40
7.73281,37.27350,Ethiopia,Tamssa,2015,NK,11369.02385,120,0,40
7.73281,37.27350,Ethiopia,Tamssa,2015,NP,9418.252736,120,40,0
7.73281,37.27350,Ethiopia,Tamssa,2015,NPK,9255.292517,120,40,40
7.73281,37.27350,Ethiopia,Tamssa,2015,NPK+,9105.346411,120,40,40
7.69642,37.25060,Ethiopia,Tamssa,2015,Control,4766.587937,0,0,0
7.69642,37.25060,Ethiopia,Tamssa,2015,PK,5972.712727,0,40,40
7.69642,37.25060,Ethiopia,Tamssa,2015,NK,8041.680309,120,0,40
7.69642,37.25060,Ethiopia,Tamssa,2015,NP,7864.882459,120,40,0
7.69642,37.25060,Ethiopia,Tamssa,2015,NPK,8191.449735,120,40,40
7.69642,37.25060,Ethiopia,Tamssa,2015,NPK+,8190.460759,120,40,40
7.69642,37.25050,Ethiopia,Tamssa,2015,Control,5508.270677,0,0,0
7.69642,37.25050,Ethiopia,Tamssa,2015,PK,6186.846872,0,40,40
7.69642,37.25050,Ethiopia,Tamssa,2015,NK,8817.812048,120,0,40
7.69642,37.25050,Ethiopia,Tamssa,2015,NP,8398.752694,120,40,0
7.69642,37.25050,Ethiopia,Tamssa,2015,NPK,8580.808466,120,40,40
7.69642,37.25050,Ethiopia,Tamssa,2015,NPK+,7706.093871,120,40,40
7.67230,37.24267,Ethiopia,Tamssa,2015,Control,2905.976471,0,0,0
7.67230,37.24267,Ethiopia,Tamssa,2015,PK,2218.153846,0,40,40
7.67230,37.24267,Ethiopia,Tamssa,2015,NK,5132.168473,120,0,40
7.67230,37.24267,Ethiopia,Tamssa,2015,NP,6527.896104,120,40,0
7.67230,37.24267,Ethiopia,Tamssa,2015,NPK,6417.620779,120,40,40
7.67230,37.24267,Ethiopia,Tamssa,2015,NPK+,5288.602151,120,40,40
7.65508,37.24766,Ethiopia,Tamssa,2015,Control,1962.039216,0,0,0
7.65508,37.24766,Ethiopia,Tamssa,2015,PK,1781.580247,0,40,40
7.65508,37.24766,Ethiopia,Tamssa,2015,NK,2283.096104,120,0,40
7.65508,37.24766,Ethiopia,Tamssa,2015,NP,4711.512912,120,40,0
7.65508,37.24766,Ethiopia,Tamssa,2015,NPK,6282.785297,120,40,40
7.65508,37.24766,Ethiopia,Tamssa,2015,NPK+,4770.846138,120,40,40
7.66062,37.24476,Ethiopia,Tamssa,2015,Control,2199.507692,0,0,0
7.66062,37.24476,Ethiopia,Tamssa,2015,PK,2543.445378,0,40,40
7.66062,37.24476,Ethiopia,Tamssa,2015,NK,4058.544762,120,0,40
7.66062,37.24476,Ethiopia,Tamssa,2015,NP,5838.851096,120,40,0
7.66062,37.24476,Ethiopia,Tamssa,2015,NPK,5664.962406,120,40,40
7.66062,37.24476,Ethiopia,Tamssa,2015,NPK+,6518.571429,120,40,40
7.64489,37.24881,Ethiopia,Tamssa,2015,Control,2187.241026,0,0,0
7.64489,37.24881,Ethiopia,Tamssa,2015,PK,1673.607256,0,40,40
7.64489,37.24881,Ethiopia,Tamssa,2015,NK,3045.684211,120,0,40
7.64489,37.24881,Ethiopia,Tamssa,2015,NP,4498.192208,120,40,0
7.64489,37.24881,Ethiopia,Tamssa,2015,NPK,4780.602469,120,40,40
7.64489,37.24881,Ethiopia,Tamssa,2015,NPK+,5014.152586,120,40,40
7.71621,37.22244,Ethiopia,Tamssa,2015,Control,8096.914286,0,0,0
7.71621,37.22244,Ethiopia,Tamssa,2015,PK,8057.714286,0,40,40
7.71621,37.22244,Ethiopia,Tamssa,2015,NK,9281.43691,120,0,40
7.71621,37.22244,Ethiopia,Tamssa,2015,NP,10657.15663,120,40,0
7.71621,37.22244,Ethiopia,Tamssa,2015,NPK,10175.41079,120,40,40
7.71621,37.22244,Ethiopia,Tamssa,2015,NPK+,12608.17865,120,40,40
7.73851,37.22357,Ethiopia,Tamssa,2015,Control,3005.454411,0,0,0
7.73851,37.22357,Ethiopia,Tamssa,2015,PK,3253.153247,0,40,40
7.73851,37.22357,Ethiopia,Tamssa,2015,NK,6330.841558,120,0,40
7.73851,37.22357,Ethiopia,Tamssa,2015,NP,6749.866667,120,40,0
7.73851,37.22357,Ethiopia,Tamssa,2015,NPK,8495.469923,120,40,40
7.73851,37.22357,Ethiopia,Tamssa,2015,NPK+,5355.9343,120,40,40
7.73020,37.22635,Ethiopia,Tamssa,2015,Control,6449.940779,0,0,0
7.73020,37.22635,Ethiopia,Tamssa,2015,PK,6510.233427,0,40,40
7.73020,37.22635,Ethiopia,Tamssa,2015,NK,9053.687478,120,0,40
7.73020,37.22635,Ethiopia,Tamssa,2015,NP,10366.87528,120,40,0
7.73020,37.22635,Ethiopia,Tamssa,2015,NPK,9471.123288,120,40,40
