"latitude","longitude","country","source","year","treatment","grain_yield_kgha","N","P","K"
7.71644,37.32596,"Ethiopia","Tamssa",2015,"Control",1832.42105263158,0,0,0
7.71644,37.32596,"Ethiopia","Tamssa",2015,"PK",2090.57142857143,0,40,40
7.71644,37.32596,"Ethiopia","Tamssa",2015,"NK",5216.83154121864,120,0,40
7.71644,37.32596,"Ethiopia","Tamssa",2015,"NP",6086.30357142857,120,40,0
7.71644,37.32596,"Ethiopia","Tamssa",2015,"NPK",6550.01904761905,120,40,40
7.71644,37.32596,"Ethiopia","Tamssa",2015,"NPK+",5912.48253968254,120,40,40
7.73156,37.30468,"Ethiopia","Tamssa",2015,"Control",6298.4126984127,0,0,0
7.73156,37.30468,"Ethiopia","Tamssa",2015,"PK",5506.65642601126,0,40,40
7.73156,37.30468,"Ethiopia","Tamssa",2015,"NK",10791.1486291486,120,0,40
7.73156,37.30468,"Ethiopia","Tamssa",2015,"NP",8645.60369139904,120,40,0
7.73156,37.30468,"Ethiopia","Tamssa",2015,"NPK",8877.81030854289,120,40,40
7.73156,37.30468,"Ethiopia","Tamssa",2015,"NPK+",9693.12334494774,120,40,40
7.73044,37.28692,"Ethiopia","Tamssa",2015,"Control",2337.40659340659,0,0,0
7.73044,37.28692,"Ethiopia","Tamssa",2015,"PK",1937.53043478261,0,40,40
7.73044,37.28692,"Ethiopia","Tamssa",2015,"NK",6593.65413533835,120,0,40
7.73044,37.28692,"Ethiopia","Tamssa",2015,"NP",8191.70975056689,120,40,0
7.73044,37.28692,"Ethiopia","Tamssa",2015,"NPK",7531.87916026626,120,40,40
7.73044,37.28692,"Ethiopia","Tamssa",2015,"NPK+",6869.59794079794,120,40,40
7.73035,37.2649,"Ethiopia","Tamssa",2015,"Control",4585.94444444444,0,0,0
7.73035,37.2649,"Ethiopia","Tamssa",2015,"PK",3736.61129568106,0,40,40
7.73035,37.2649,"Ethiopia","Tamssa",2015,"NK",5807.37662337662,120,0,40
7.73035,37.2649,"Ethiopia","Tamssa",2015,"NP",8051.21693121693,120,40,0
7.73035,37.2649,"Ethiopia","Tamssa",2015,"NPK",7320.20799124248,120,40,40
7.73035,37.2649,"Ethiopia","Tamssa",2015,"NPK+",5846.39376218324,120,40,40
