state,LGA,aez,latitude,longitude,country,source,year,treatment,grain_yield_kgha,N,P,K,planting_date,harvest_date
Kaduna,Lere,Northern Guinea Savanna,10.4875,8.545867,Nigeria,Tamassa,2015,Control,4401.148115,140,50,50,13/06/2015,42226
Kaduna,Lere,Northern Guinea Savanna,10.4875,8.545867,Nigeria,Tamassa,2015,PK,3071.349665,140,50,50,13/06/2015,42226
Kaduna,Lere,Northern Guinea Savanna,10.4875,8.545867,Nigeria,Tamassa,2015,NK,5122.869113,140,50,50,13/06/2015,42226
Kaduna,Lere,Northern Guinea Savanna,10.4875,8.545867,Nigeria,Tamassa,2015,NP,8347.718987,140,50,50,13/06/2015,42226
Kaduna,Lere,Northern Guinea Savanna,10.4875,8.545867,Nigeria,Tamassa,2015,NPK,11351.77709,140,50,50,13/06/2015,42226
Kaduna,Lere,Northern Guinea Savanna,10.4875,8.545867,Nigeria,Tamassa,2015,NPK+,6948.83835,140,50,50,13/06/2015,42226
Kaduna,Lere,Northern Guinea Savanna,10.50395,8.52375,Nigeria,Tamassa,2015,Control,3719.621993,140,50,50,13/06/2015,42226
Kaduna,Lere,Northern Guinea Savanna,10.50395,8.52375,Nigeria,Tamassa,2015,PK,4550.634012,140,50,50,13/06/2015,42226
Kaduna,Lere,Northern Guinea Savanna,10.50395,8.52375,Nigeria,Tamassa,2015,NK,4748.15087,140,50,50,13/06/2015,42226
Kaduna,Lere,Northern Guinea Savanna,10.50395,8.52375,Nigeria,Tamassa,2015,NP,9216.969687,140,50,50,13/06/2015,42226
Kaduna,Lere,Northern Guinea Savanna,10.50395,8.52375,Nigeria,Tamassa,2015,NPK,8865.488902,140,50,50,13/06/2015,42226
Kaduna,Lere,Northern Guinea Savanna,10.50395,8.52375,Nigeria,Tamassa,2015,NPK+,10436.5312,140,50,50,13/06/2015,42226
Kaduna,Lere,Northern Guinea Savanna,10.52715,8.508783,Nigeria,Tamassa,2015,Control,939.0413943,140,50,50,13/06/2015,42226
