latitude,longitude,Controluntry,source,year,treatment,grain_yield_kgha,N,P,K
-10.61712122,35.43516235,Tanzania,Tamassa,2016/17,PK,6988.573052,0,40,40
-10.61712122,35.43516235,Tanzania,Tamassa,2016/17,Control,5452.668831,0,0,0
-10.61712122,35.43516235,Tanzania,Tamassa,2016/17,NPK,9620.752896,120,40,40
-10.61712122,35.43516235,Tanzania,Tamassa,2016/17,NPK+,8634.387013,120,40,40
-10.61712122,35.43516235,Tanzania,Tamassa,2016/17,NP,6227.015198,120,40,0
-10.61712122,35.43516235,Tanzania,Tamassa,2016/17,NK,4085.357143,120,0,40
-10.61359852,35.38141875,Tanzania,Tamassa,2016/17,PK,4194.383673,0,40,40
-10.61359852,35.38141875,Tanzania,Tamassa,2016/17,Control,3101.357143,0,0,0
-10.61359852,35.38141875,Tanzania,Tamassa,2016/17,NK,12352.71429,120,0,40
-10.61359852,35.38141875,Tanzania,Tamassa,2016/17,NP,9831.791768,120,40,0
-10.61359852,35.38141875,Tanzania,Tamassa,2016/17,NPK,8746.666667,120,40,40
-10.61359852,35.38141875,Tanzania,Tamassa,2016/17,NPK+,6511.224138,120,40,40
-10.59833143,35.36260468,Tanzania,Tamassa,2016/17,PK,4702.369737,0,40,40
-10.59833143,35.36260468,Tanzania,Tamassa,2016/17,Control,3844.953968,0,0,0
-10.59833143,35.36260468,Tanzania,Tamassa,2016/17,NPK+,12884.19375,120,40,40
-10.59833143,35.36260468,Tanzania,Tamassa,2016/17,NPK,12303.94037,120,40,40
-10.59833143,35.36260468,Tanzania,Tamassa,2016/17,NK,12023.16221,120,0,40
-10.59833143,35.36260468,Tanzania,Tamassa,2016/17,NP,10775.86466,120,40,0
-10.58673337,35.409238,Tanzania,Tamassa,2016/17,PK,2335.147059,0,40,40
-10.58673337,35.409238,Tanzania,Tamassa,2016/17,Control,424.8168571,0,0,0
-10.58673337,35.409238,Tanzania,Tamassa,2016/17,NPK+,9218.378571,120,40,40
-10.58673337,35.409238,Tanzania,Tamassa,2016/17,NK,8826.545455,120,0,40
-10.58673337,35.409238,Tanzania,Tamassa,2016/17,NP,7173.36,120,40,0
-10.58673337,35.409238,Tanzania,Tamassa,2016/17,NPK,7141.22449,120,40,40
-10.58526557,35.37166836,Tanzania,Tamassa,2016/17,PK,978.7401361,0,40,40
-10.58526557,35.37166836,Tanzania,Tamassa,2016/17,Control,515.7857143,0,0,0
-10.58526557,35.37166836,Tanzania,Tamassa,2016/17,NPK+,4469.686813,120,40,40
-10.58526557,35.37166836,Tanzania,Tamassa,2016/17,NP,746.6201299,120,40,0
-10.58526557,35.37166836,Tanzania,Tamassa,2016/17,NPK,707.7571429,120,40,40
-10.58526557,35.37166836,Tanzania,Tamassa,2016/17,NK,486.1167702,120,0,40
-10.57174339,35.38254903,Tanzania,Tamassa,2016/17,Control,1707.357143,0,0,0
-10.57174339,35.38254903,Tanzania,Tamassa,2016/17,PK,645.4571429,0,40,40
-10.57174339,35.38254903,Tanzania,Tamassa,2016/17,NPK+,12180.05391,120,40,40
-10.57174339,35.38254903,Tanzania,Tamassa,2016/17,NK,11523.48668,120,0,40
-10.57174339,35.38254903,Tanzania,Tamassa,2016/17,NPK,11371.8961,120,40,40
-10.57174339,35.38254903,Tanzania,Tamassa,2016/17,NP,9958.122449,120,40,0
-10.57122047,35.39503343,Tanzania,Tamassa,2016/17,PK,9161.096774,0,40,40
-10.57122047,35.39503343,Tanzania,Tamassa,2016/17,NPK,13562.31527,120,40,40
-10.57122047,35.39503343,Tanzania,Tamassa,2016/17,NK,10428,120,0,40
-10.57122047,35.39503343,Tanzania,Tamassa,2016/17,NP,10334.01712,120,40,0
-10.57122047,35.39503343,Tanzania,Tamassa,2016/17,NPK+,9257.195455,120,40,40
-10.57016425,35.3583025,Tanzania,Tamassa,2016/17,Control,651.456,0,0,0
-10.57016425,35.3583025,Tanzania,Tamassa,2016/17,PK,371.5714286,0,40,40
-10.57016425,35.3583025,Tanzania,Tamassa,2016/17,NPK+,11463.3522,120,40,40
